FILE NAME        SIZE   DESCRIPTION
----------------------------------------------------------------
00-files.lst    18813   List of files in the FNTCOL16 distrib.
copyleft.txt    10052   Explains limitations and author requests
fontorig.txt    13458   Info: Where did these fonts came from? 
history.txt      1135   List of versions of FNCTOL
looking4.txt     2985   Request for more fonts to add to FNTCOL.
withfont.com    10288   Run cmd using given E/VGA text mode font
withfont.hlp     2176   Help screen extracted from WITHFONT.COM
loadfont.com    11294   Load text mode font to EGA/VGA adapter  
loadfont.hlp     2530   Help screen extracted from LOADFONT.COM
dumpfont.com     5868   Dump text mode font from EGA/VGA adapter
dumpfont.hlp     1078   Help screen extracted from DUMPFONT.COM
charset.com      3288   Display all chars in current font       
charset.hlp      1011   Help screen extracted from CHARSET.COM
breakcpi.com    10796   Extract fonts from DOS 3.3+ *.cpi files 
breakcpi.hlp     1148   Help screen extracted from BREAKCPI.COM
trimfont.com     8330   Trim a text mode font to its true height
trimfont.hlp     1110   Help screen extracted from TRIMFONT.COM
fontspan.com    12660   
fontspan.hlp     1030   Help screen extracted from FONTSPAN.COM
fontcomp.btm      466   Batch file for viewing two font files
greek.f06        1536   Modern Greek ANSI font at height 6 
greek.f07        1792   Modern Greek ANSI font at height 7   
thinasci.f07     1792   Thin letters. Ascii + block chars only
apeaus.f08       2048   Persian-English-Arabic-Urdu font
apls.f08         2048   Lothar Bongartz: thin fnt/special math 
armenian.f08     2048   Armenian font; chars 128-175, 224-253.
cp111.f08        2048   Greek code page at height 8
cp112.f08        2048   Turkish code page at height 8
cp113.f08        2048   Yugoslavian code page at height 8
cp437.f08        2048   United States code page at height 8   
cp437alt.f08     2048   Bongartz: Diacritivariations on cp437  
cp437bgr.f08     2048   Bongartz: Like cp437 + Thin bsns. graph
cp850.f08        2048   Multilingual code page at height 8   
cp851.f08        2048   Greek code page at height 8
cp852.f08        2048   Cyrillic code page at height 8     
cp853.f08        2048   Turkish/LATIN II code page at height 8
cp860.f08        2048   Portuguese code page at height 8    
cp861.f08        2048   Icelandic code page at height 8
cp862.f08        2048   Hebrew code page at height 8      
cp863.f08        2048   Canadian-French code page at height 8  
cp864.f08        2048   Arabic code page (DOS 5) at height  
cp865.f08        2048   Nordic code page at height 8      
cp866.f08        2048   Rimrock Software: Cyrillic code page
cp880.f08        2048   Cyrillic 8859-5 code page at height 8  
cp881.f08        2048   Latin #1 code page at height 8     
cp882.f08        2048   Latin #2 code page at height 8     
cp883.f08        2048   Latin #3 code page at height 8     
cp884.f08        2048   Latin #4 code page at height 8     
cp885.f08        2048   Latin #5 code page at height 8     
cyrill1.f08      2048   Variations on Cyrillic font (1/3)    
cyrill2.f08      2048   Variations on Cyrillic font (2/3)    
cyrill3.f08      2048   Variations on Cyrillic font (3/3)    
cyril_b.f08      2048   Lothar Bongartz: Cyrillic chars
evga-alt.f08     2048   Alternate ega/vga font at height 8   
grckssrf.f08     2048   Greek sanserif, with curved double lines
greek.f08        2048   Modern Greek ANSI font at height 8   
